data,setmana,titular
2026-07-27,8,Stocks Sink in Broad AI Rout Sparked by China's DeepSeek
2026-07-27,8,"Comex Gold, Silver Settle Lower"
2026-07-27,8,DeepSeek Won't Sink U.S. AI Titans
2026-07-27,8,Financial Services Roundup: Market Talk
2026-07-27,8,"Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat"
2026-07-27,8,"Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens"
2026-07-27,8,Natural Gas Falls on Shifting Weather Forecasts
2026-07-27,8,Building-Products Distributor QXO Launches Hostile Bid for Beacon
2026-07-27,8,Singapore tightens monetary policy in surprise move as rising oil prices rekindle inflation risk
2026-07-27,8,Trump's new global tariff draws rebukes from trade partners over forced labor justification
2026-07-29,9,Stocks Sink in Broad AI Rout Sparked by China's DeepSeek
2026-07-29,9,"Comex Gold, Silver Settle Lower"
2026-07-29,9,DeepSeek Won't Sink U.S. AI Titans
2026-07-29,9,Financial Services Roundup: Market Talk
2026-07-29,9,"Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat"
2026-07-29,9,"Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens"
2026-07-29,9,Natural Gas Falls on Shifting Weather Forecasts
2026-07-29,9,Building-Products Distributor QXO Launches Hostile Bid for Beacon
2026-07-29,9,Singapore tightens monetary policy in surprise move as rising oil prices rekindle inflation risk
2026-07-29,9,Trump's new global tariff draws rebukes from trade partners over forced labor justification
2026-07-30,10,U.S. economy slowed to 1.5% growth rate in Q2; June core inflation at 3.3%
2026-07-30,10,BP to cut 700 jobs as it warns on oil ‘oversupply’
2026-07-30,10,Jim Cramer says this post-earnings sell-off is a golden buying opportunity
2026-07-30,10,TripAdvisor shares may shift 9.4% on earnings release
2026-07-30,10,"Yen soars, markets suspect Japan intervention"
2026-07-30,10,Former Fed officials say the Fed cannot rely on luck or rhetoric alone to restore price stability
2026-07-30,10,‘Don’t get suckered like I did’: I paid $185 to the wrong passport website. Can I get my money back?
2026-07-30,10,El Ibex premia esta vez los resultados
2026-07-30,10,What a divided Fed means for investors
2026-07-30,10,"AI investor Leopold Aschenbrenner forced to unwind all public stock positions after steep losses, sources say"
2026-07-30,10,NYSE owner to buy bond platform MarketAxess in $5.7bn deal
2026-07-30,10,Vertiv Holdings (VRT) Sees Robust Growth Ahead as AI Infrastructure Spending Accelerates
2026-08-03,11,"As Warsh’s Fed faces pressure to act on inflation, these indicators show it’s at its lowest in years"
2026-08-03,11,Oil prices fall more than 5% as Middle East tensions ebb on diplomatic efforts
2026-08-03,11,Beefing with the Big Mac Index
2026-08-03,11,Suze Orman says planning to work until 65 is a risky strategy — her 2 tips to help you retire when you want
2026-08-03,11,Chinese copper foil giant Londian Wason eyes $1.7 billion valuation in US IPO
2026-08-03,11,"Bank Indonesia wants more lending from commercial banks, acting governor says"
2026-08-03,11,"Sally Beauty Non-GAAP EPS of $0.55 beats by $0.02, revenue of $935.49M misses by $3.78M"
2026-08-03,11,AstraZeneca tie-up talks with Bristol-Myers Squibb are moving stocks. Analysts are puzzled.
2026-08-03,11,El Ibex busca récords con el petróleo desinflado
2026-08-03,11,U.S. economy slowed to 1.5% growth rate in Q2; June core inflation at 3.3%
2026-08-03,11,Alibaba shares rally after unveiling its 'most powerful' AI model as U.S.-China competition heats up
2026-08-03,11,A second act for high-yield bonds
2026-08-10,12,"U.S. economy unexpectedly lost 23,000 jobs in July"
2026-08-10,12,Trump says oil supermajors are making too much money. What will they do with it?
2026-08-10,12,London plots digital gold pivot to protect bullion trading
2026-08-10,12,"Mortgage and refinance interest rates today, Sunday, August 9, 2026: Rates mostly lower than last week"
2026-08-10,12,Bank of America sees Treasury curve biased to steepen
2026-08-10,12,Analysis-BOJ’s rate-hike path runs into Takaichi’s bond market problems
2026-08-10,12,Stock futures mixed as hopes for Hormuz reopening fade
2026-08-10,12,Berkshire Hathaway finally started spending its nearly $400 billion in cash — on one stock it knows very well
2026-08-10,12,El Ibex duda en zona de máximos
2026-08-10,12,Europe is blowing up riverbeds as an extreme drought wreaks havoc on its economy
2026-08-10,12,"How a small Israeli startup was linked to rogue AI hacks at OpenAI, Anthropic and Meta"
2026-08-10,12,Todd Boehly’s group rolls out AI to Chelsea and A24
2026-08-17,13,"Consumer prices rose 0.1% in July, as expected, putting the annual rate at 3.4%"
2026-08-17,13,Strait of Hormuz shipping grinds to a halt ahead of U.S.-Iran ceasefire expiry
2026-08-17,13,Japan’s 10-year bond yield hits three-decade high
2026-08-17,13,Billionaire Bill Ackman doubles down on these stocks in Q2
2026-08-17,13,Jefferies downgrades BSE to Underperform as options risks mount
2026-08-17,13,Bets on imminent Fed rate hike fade; retail earnings ahead - what’s moving markets
2026-08-17,13,Retractable Technologies reports Q2 results
2026-08-17,13,U.S. stock futures little changed as investors ponder the Fed’s next move
2026-08-17,13,El Ibex duda ante los 20.200 puntos
2026-08-17,13,The Iran war risks bringing the G7's fastest-growing economy to a halt
2026-08-17,13,"China's economy slows further in July as retail sales barely grow, investment slump steepens"
2026-08-17,13,Private credit under strain as troubled loans swell
