data,setmana,titular
2026-07-27,8,Stocks Sink in Broad AI Rout Sparked by China's DeepSeek
2026-07-27,8,"Comex Gold, Silver Settle Lower"
2026-07-27,8,DeepSeek Won't Sink U.S. AI Titans
2026-07-27,8,Financial Services Roundup: Market Talk
2026-07-27,8,"Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat"
2026-07-27,8,"Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens"
2026-07-27,8,Natural Gas Falls on Shifting Weather Forecasts
2026-07-27,8,Building-Products Distributor QXO Launches Hostile Bid for Beacon
2026-07-27,8,Singapore tightens monetary policy in surprise move as rising oil prices rekindle inflation risk
2026-07-27,8,Trump's new global tariff draws rebukes from trade partners over forced labor justification
2026-07-29,9,Stocks Sink in Broad AI Rout Sparked by China's DeepSeek
2026-07-29,9,"Comex Gold, Silver Settle Lower"
2026-07-29,9,DeepSeek Won't Sink U.S. AI Titans
2026-07-29,9,Financial Services Roundup: Market Talk
2026-07-29,9,"Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat"
2026-07-29,9,"Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens"
2026-07-29,9,Natural Gas Falls on Shifting Weather Forecasts
2026-07-29,9,Building-Products Distributor QXO Launches Hostile Bid for Beacon
2026-07-29,9,Singapore tightens monetary policy in surprise move as rising oil prices rekindle inflation risk
2026-07-29,9,Trump's new global tariff draws rebukes from trade partners over forced labor justification
2026-07-30,10,U.S. economy slowed to 1.5% growth rate in Q2; June core inflation at 3.3%
2026-07-30,10,BP to cut 700 jobs as it warns on oil ‘oversupply’
2026-07-30,10,Jim Cramer says this post-earnings sell-off is a golden buying opportunity
2026-07-30,10,TripAdvisor shares may shift 9.4% on earnings release
2026-07-30,10,"Yen soars, markets suspect Japan intervention"
2026-07-30,10,Former Fed officials say the Fed cannot rely on luck or rhetoric alone to restore price stability
2026-07-30,10,‘Don’t get suckered like I did’: I paid $185 to the wrong passport website. Can I get my money back?
2026-07-30,10,El Ibex premia esta vez los resultados
2026-07-30,10,What a divided Fed means for investors
2026-07-30,10,"AI investor Leopold Aschenbrenner forced to unwind all public stock positions after steep losses, sources say"
2026-07-30,10,NYSE owner to buy bond platform MarketAxess in $5.7bn deal
2026-07-30,10,Vertiv Holdings (VRT) Sees Robust Growth Ahead as AI Infrastructure Spending Accelerates
